symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
ALKS,2016-12-31,False,FY,2016,10-K,745694000.0,-208665000.0,-208444000.0,-1.38,-1.38,0.0,1726423000.0,790678000.0,211993000.0,186378000.0,1209481000.0,-63802000.0,127243000.0,-58172000.0
ASPS,2016-12-31,False,FY,2016,10-K,997303000.0,65103000.0,28693000.0,1.53,1.46,0.0,689212000.0,325477000.0,148938000.0,149294000.0,62194000.0,126818000.0,-80223000.0,-76628000.0
EQC,2016-12-31,False,FY,2016,10-K,500680000.0,59436000.0,205329000.0,1.64,1.62,0.0,4526075000.0,,,2094674000.0,3260447000.0,163016000.0,1052119000.0,-923182000.0
ESNT,2016-12-31,False,FY,2016,10-K,458258000.0,,222606000.0,2.45,2.41,0.0,1882998000.0,,,27531000.0,1343773000.0,273476000.0,-365316000.0,94765000.0
EVER,2016-12-31,False,FY,2016,10-K,0.0,,134806000.0,1.07,1.06,0.24,27838086000.0,,,36654000.0,2016332000.0,547985000.0,-1433235000.0,1094237000.0
APTI,2016-12-31,False,FY,2016,10-K,160569000.0,-28151000.0,-31553000.0,-1.61,-1.61,0.0,194782000.0,142775000.0,116374000.0,42007000.0,71568000.0,-3994000.0,-74644000.0,101152000.0
FAF,2016-12-31,False,FY,2016,10-K,5575846000.0,,342993000.0,3.1,3.09,1.2,8831777000.0,,,1006138000.0,3014349000.0,-26682000.0,-74114000.0,32524000.0
ARDX,2016-12-31,False,FY,2016,10-K,,-112895000.0,-112387000.0,-2.8,-2.8,0.0,213131000.0,203992000.0,19201000.0,74598000.0,193151000.0,-92534000.0,-131076000.0,191204000.0
FLR,2016-12-31,False,FY,2016,10-K,19036525000.0,,281401000.0,2.02,2.0,0.84,9216417000.0,5610270000.0,3816029000.0,1850436000.0,3242831000.0,705919000.0,-741351000.0,-10350000.0
FLS,2016-12-31,False,FY,2016,10-K,3991462000.0,277455000.0,145060000.0,1.11,1.11,0.76,4742762000.0,2331361000.0,1178141000.0,367162000.0,1669195000.0,227594000.0,-91469000.0,-130839000.0
GNC,2016-12-31,False,FY,2016,10-K,2540016000.0,-172947000.0,-286250000.0,-4.12,-4.12,0.8,2068639000.0,799129000.0,307666000.0,34464000.0,-95047000.0,208198000.0,-22420000.0,-207536000.0
GVA,2016-12-31,False,FY,2016,10-K,2514617000.0,92354000.0,57122000.0,1.44,1.42,0.52,1733453000.0,1088992000.0,529934000.0,189326000.0,922591000.0,73146000.0,-96390000.0,-40266000.0
GPI,2016-12-31,False,FY,2016,10-K,10887612000.0,340234000.0,141194000.0,6.67,6.67,0.91,4461903000.0,2150587000.0,2053117000.0,20992000.0,930200000.0,384857000.0,-174040000.0,-205007000.0
HTH,2016-12-31,False,FY,2016,10-K,1742919000.0,,145894000.0,1.48,1.48,0.06,12738062000.0,,,669357000.0,1874520000.0,-183348000.0,-493561000.0,698228000.0
BWLD,2016-12-25,False,FY,2016,10-K,1986793000.0,136700000.0,94745000.0,5.14,5.12,0.0,1047219000.0,176587000.0,241969000.0,49266000.0,517900000.0,282589000.0,-144844000.0,-99666000.0
HUBS,2016-12-31,False,FY,2016,10-K,270967000.0,-44662000.0,-45562000.0,-1.29,-1.29,0.0,259755000.0,176253000.0,127383000.0,59702000.0,118700000.0,19366000.0,-22957000.0,8473000.0
HUBB,2016-12-31,False,FY,2016,10-K,3505200000.0,477800000.0,293000000.0,5.26,5.24,2.59,3525000000.0,1551300000.0,589600000.0,437600000.0,1603200000.0,398200000.0,-230000000.0,-46800000.0
HII,2016-12-31,False,FY,2016,10-K,7068000000.0,858000000.0,573000000.0,12.24,12.14,2.1,6352000000.0,2142000000.0,1343000000.0,720000000.0,1653000000.0,822000000.0,-653000000.0,-343000000.0
HUM,2016-12-31,False,FY,2016,10-K,53990000000.0,1741000000.0,614000000.0,4.11,4.07,1.16,25396000000.0,16190000000.0,7822000000.0,3877000000.0,10685000000.0,1936000000.0,-1362000000.0,732000000.0
H,2016-12-31,False,FY,2016,10-K,4429000000.0,,204000000.0,1.53,1.52,0.0,7749000000.0,1139000000.0,924000000.0,482000000.0,3908000000.0,489000000.0,-380000000.0,-96000000.0
CARV,2016-12-31,False,Q3,2017,10-Q,7075000.0,,-1156000.0,-0.31,-0.31,0.0,698875000.0,,,61209000.0,51421000.0,-379000.0,36766000.0,-38583000.0
JNS,2016-12-31,False,FY,2016,10-K,1010700000.0,261600000.0,146100000.0,0.79,0.78,0.42,2949900000.0,963000000.0,231700000.0,485900000.0,1719300000.0,262200000.0,13300000.0,-153300000.0
CHTR,2016-12-31,False,FY,2016,10-K,29003000000.0,3355000000.0,3522000000.0,17.05,15.94,0.0,149067000000.0,3300000000.0,9572000000.0,1535000000.0,50366000000.0,8041000000.0,-11290000000.0,4779000000.0
CTXS,2016-12-31,False,FY,2016,10-K,3418265000.0,649158000.0,536112000.0,3.46,3.41,0.0,6390227000.0,2561277000.0,3098349000.0,956956000.0,2608727000.0,1115830000.0,-484204000.0,-38031000.0
CZNC,2016-12-31,False,FY,2016,10-K,60767000.0,,15762000.0,1.3,1.3,1.04,1242292000.0,,,32109000.0,186008000.0,18510000.0,-29399000.0,6197000.0
LPI,2016-12-31,False,FY,2016,10-K,597378000.0,-87962000.0,-260739000.0,-1.16,-1.16,0.0,1782346000.0,154777000.0,187945000.0,32672000.0,180573000.0,356295000.0,-564402000.0,209625000.0
CGNX,2016-12-31,False,FY,2016,10-K,520753000.0,160784000.0,149572000.0,1.75,1.72,0.3,1038604000.0,526344000.0,65773000.0,79641000.0,962599000.0,182081000.0,-121832000.0,-29231000.0
L,2016-12-31,False,FY,2016,10-K,13105000000.0,,654000000.0,1.93,1.93,0.25,76594000000.0,3096000000.0,140000000.0,327000000.0,23361000000.0,204000000.0,-79000000.0,-125000000.0
LYB,2016-12-31,False,FY,2016,10-K,29183000000.0,5060000000.0,3836000000.0,9.15,9.13,3.33,23442000000.0,9599000000.0,4540000000.0,875000000.0,6073000000.0,5606000000.0,-2297000000.0,-3349000000.0
MHO,2016-12-31,False,FY,2016,10-K,1691327000.0,108743000.0,51734000.0,2.1,1.84,0.0,1548511000.0,,,34441000.0,654174000.0,34197000.0,-31645000.0,18788000.0
MMP,2016-12-31,False,FY,2016,10-K,2205410000.0,935052000.0,805989000.0,3.52,3.52,0.0,6772073000.0,370394000.0,481656000.0,14701000.0,,964040000.0,-857366000.0,-120704000.0
MTRN,2016-12-31,False,FY,2016,10-K,969236000.0,27104000.0,25740000.0,1.29,1.27,0.375,741298000.0,345284000.0,90377000.0,31464000.0,494089000.0,67174000.0,-37355000.0,-22112000.0
